ID,VS.5mm.L_GainAntGrCtrlAnt,VS.5mm.L_SmGainAntGrCtrlAnt,VS.5mm.L_LgGainAntGrCtrlAnt,VS.5mm.R_GainAntGrCtrlAnt,VS.5mm.R_SmGainAntGrCtrlAnt,VS.5mm.R_LgGainAntGrCtrlAnt,VS.10mm.L_GainAntGrCtrlAnt,VS.10mm.L_SmGainAntGrCtrlAnt,VS.10mm.L_LgGainAntGrCtrlAnt,VS.10mm.R_GainAntGrCtrlAnt,VS.10mm.R_SmGainAntGrCtrlAnt,VS.10mm.R_LgGainAntGrCtrlAnt
DMHDS0229,0.087332,-0.117174,0.291838,-0.445341,-0.744354,-0.146328,0.075599,0.029604,0.121595,-0.189814,-0.4772,0.097572
DMHDS0445,0.20332,0.135165,0.271474,0.137183,0.116879,0.157487,0.091741,0.040457,0.143025,0.075282,-0.036694,0.187257
DMHDS0998,0.61538,0.826924,0.403836,0.109679,0.309334,-0.089977,0.366171,0.547187,0.185156,0.132527,0.301841,-0.036787
DMHDS1026,-0.087521,-0.407285,0.232243,-0.118542,-0.137484,-0.0996,0.022696,-0.242669,0.28806,-0.028831,-0.141042,0.08338
DMHDS0890,0.355641,0.091881,0.619402,0.278877,0.133902,0.423852,0.206985,0.119008,0.294963,0.257818,0.09699,0.418646
DMHDS1129,-0.059005,-0.12183,0.003821,0.060918,0.055698,0.066139,0.056392,-0.026569,0.139354,0.114756,0.042144,0.187368
DMHDS0844,0.438234,0.339186,0.537282,0.363126,0.295104,0.431147,0.420504,0.286264,0.554745,0.278477,0.161144,0.39581
DMHDS0738,-0.013796,-0.088209,0.060617,-0.084657,-0.123998,-0.045316,0.072555,0.022448,0.122662,-0.04012,-0.108149,0.027908
DMHDS0452,0.458718,0.194916,0.722519,0.572797,0.463089,0.682505,0.471639,0.246511,0.696767,0.496687,0.36525,0.628125
DMHDS1086,0.330047,0.083103,0.576992,-0.002359,-0.405018,0.4003,0.372553,0.099473,0.645633,0.201342,-0.08652,0.489204
DMHDS1218,0.107165,-0.080791,0.29512,0.086817,-0.037337,0.21097,-0.014649,-0.115598,0.0863,0.072965,-0.057879,0.20381
DMHDS0558,0.055951,0.021202,0.090701,-0.034177,0.179485,-0.247839,0.044707,0.021876,0.067538,0.042634,0.134589,-0.04932
DMHDS0766,-0.052766,-0.118361,0.01283,-0.227604,-0.068588,-0.38662,-0.036513,-0.01584,-0.057187,-0.092639,0.038702,-0.22398
DMHDS0690,0.351016,0.081686,0.620347,0.181204,0.074094,0.288315,0.279684,0.027621,0.531748,0.278456,0.161595,0.395317
DMHDS0700,0.620522,0.330048,0.910996,0.306869,0.016904,0.596833,0.509719,0.310905,0.708533,0.385195,0.20183,0.568561
DMHDS0940,0.248998,0.034685,0.463311,0.218086,0.213925,0.222246,0.153434,0.001852,0.305016,0.22339,0.164325,0.282456
DMHDS1149,0.336023,0.127329,0.544718,0.493025,0.320381,0.665669,0.381462,0.227039,0.535884,0.371947,0.19784,0.546054
DMHDS0380,-0.195073,-0.494525,0.10438,-0.15309,-0.351392,0.045212,-0.115405,-0.261857,0.031047,-0.018845,-0.141004,0.103315
DMHDS1124,0.306659,0.283308,0.330011,0.105507,0.065497,0.145517,0.254818,0.219347,0.29029,0.258683,0.193667,0.3237
DMHDS1158,-0.085547,-0.191866,0.020772,-0.062036,-0.153759,0.029686,0.022806,-0.064357,0.109968,-0.106568,-0.215018,0.001881
DMHDS0407,0.078364,0.01157,0.145159,-0.077277,-0.072123,-0.082431,0.138103,-0.001176,0.277381,-0.024645,-0.090394,0.041103
DMHDS1076,-0.172268,-0.157466,-0.18707,0.01201,0.010104,0.013916,-0.078751,-0.097596,-0.059907,-0.02716,-0.025584,-0.028736
DMHDS0869,0.270382,0.403246,0.137517,0.347762,0.361795,0.333728,0.113225,0.137964,0.088486,0.196769,0.160042,0.233495
DMHDS0978,0.583244,0.40012,0.766367,0.392184,0.275882,0.508487,0.337039,0.148237,0.525841,0.255249,0.113077,0.397421
DMHDS0713,0.122712,0.168593,0.07683,-0.02204,-0.011633,-0.032448,0.163842,0.233986,0.093698,0.092113,0.047314,0.136913
DMHDS0805,0.073138,0.046431,0.099846,-0.210246,-0.244453,-0.17604,0.015026,0.019821,0.010231,-0.027308,-0.052491,-0.002124
DMHDS0715,0.355832,0.311045,0.400618,0.381071,0.326948,0.435194,0.255173,0.186695,0.32365,0.222998,0.099699,0.346296
DMHDS0511,0.454373,0.463538,0.445207,0.43325,0.401203,0.465297,0.241188,0.255081,0.227295,0.246374,0.238359,0.25439
DMHDS1002,0.081209,0.058382,0.104035,-0.093197,-0.221245,0.034851,0.148746,0.031844,0.265649,-0.03161,-0.215678,0.152457
DMHDS0519,0.015359,-0.054581,0.085299,0.133735,0.117503,0.149967,0.125856,0.061409,0.190303,0.109691,0.105722,0.113659
DMHDS0935,-0.081663,-0.274181,0.110856,-0.15646,-0.322183,0.009263,-0.014654,-0.06329,0.033982,-0.149803,-0.201919,-0.097687
DMHDS1014,-0.019197,0.002872,-0.041266,0.202241,0.234391,0.17009,0.026151,0.11952,-0.067219,0.138027,0.203518,0.072537
DMHDS0756,-0.135068,0.074412,-0.344548,-0.232044,-0.12329,-0.340799,-0.086417,-0.053717,-0.119116,-0.155836,-0.162916,-0.148756
DMHDS1156,0.097213,0.008826,0.185601,0.1762,0.076857,0.275542,0.091186,-0.032783,0.215155,0.220296,0.136897,0.303695
DMHDS0534,0.513972,0.411113,0.616831,0.186515,0.12563,0.247401,0.395265,0.312308,0.478222,0.2562,0.166032,0.346368
DMHDS0610,-0.331768,-0.521952,-0.141584,-0.170419,-0.560186,0.219349,-0.194009,-0.323873,-0.064146,-0.118365,-0.331909,0.095179
DMHDS0606,0.148258,0.112473,0.184043,0.044121,0.011611,0.07663,0.155391,0.109014,0.201768,0.115662,0.070769,0.160555
DMHDS1148,-0.077233,-0.059862,-0.094603,-0.037391,0.00781,-0.082592,-0.09781,-0.07046,-0.125161,-0.131679,-0.119542,-0.143816
DMHDS1020,0.597597,0.421576,0.773618,0.351478,0.24458,0.458376,0.542952,0.360284,0.725619,0.571642,0.366693,0.776592
DMHDS0682,0.272742,-0.061179,0.606663,-0.099579,-0.231671,0.032513,0.019212,-0.148631,0.187055,-0.034531,-0.158807,0.089746
